UserId	fear	anger	sad	joy	surprise	disgust	trust	anticipation	positive	negative	#Emo_Categories	EmoVariance	label
Foldedspace	0.0	0.142857142857	0.142857142857	0.571428571429	0.0	0.0	0.0	0.142857142857	0.714285714286	0.285714285714	4	3.4722222222222228	M
bugandax	0.0	0.0	0.125	0.875	0.0	0.0	0.0	0.0	0.875	0.125	2	0.12244897959183677	M
jmsrnld_	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.5	1.0	0.0	2	4.0	M
JudisFum	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.25	1.0	0.0	2	3.5555555555555554	M
YawMintYM	0.0	0.12	0.04	0.48	0.0	0.0	0.12	0.24	0.84	0.16	5	4.089506172839507	M
fchs_softball	0.0	0.0	0.117647058824	0.764705882353	0.0	0.0	0.117647058824	0.0	0.882352941176	0.117647058824	3	1.1875	M
honkoclock	0.0	0.0	0.0	0.916666666667	0.0	0.0	0.0833333333333	0.0	1.0	0.0	2	0.8888888888888888	M
DJRAJJ_	0.0	0.125	0.125	0.625	0.0	0.0	0.0	0.125	0.75	0.25	4	2.609375	M
kuuoteapp	0.1	0.1	0.1	0.3	0.1	0.0	0.1	0.2	0.7	0.3	7	5.061224489795919	M
AnthonyGlees	0.0909090909091	0.272727272727	0.0	0.454545454545	0.0909090909091	0.0	0.0	0.0909090909091	0.636363636364	0.363636363636	5	3.109375	M
minke_whales	0.0	0.166666666667	0.166666666667	0.458333333333	0.0	0.0	0.125	0.0833333333333	0.666666666667	0.333333333333	5	2.52734375	M
djandrey256	0.0	0.4	0.2	0.0	0.0	0.0	0.4	0.0	0.4	0.6	3	6.25	M
tyboy1	0.0	0.235294117647	0.235294117647	0.176470588235	0.0588235294118	0.0	0.176470588235	0.117647058824	0.529411764706	0.470588235294	6	4.25	M
__LickMyTATS	0.0	0.235294117647	0.235294117647	0.176470588235	0.0588235294118	0.0	0.176470588235	0.117647058824	0.529411764706	0.470588235294	6	4.25	M
Nick_Munich	0.0	0.111111111111	0.0	0.777777777778	0.0	0.0	0.0	0.111111111111	0.888888888889	0.111111111111	3	0.8888888888888888	M
_bluepancakes	0.0	0.25	0.25	0.25	0.0	0.0	0.0	0.25	0.5	0.5	4	5.1875	M
Cuntry_N_Tatted	0.0	0.235294117647	0.235294117647	0.176470588235	0.0588235294118	0.0	0.176470588235	0.117647058824	0.529411764706	0.470588235294	6	4.25	M
andyhyde45	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1	0.0	M
ErwinMadrigal_	0.0	0.0	0.333333333333	0.333333333333	0.0	0.0	0.333333333333	0.0	0.666666666667	0.333333333333	3	2.888888888888889	M
IzzyKamikaze	0.0	0.0	0.0	0.5	0.0	0.5	0.0	0.0	0.5	0.5	2	1.0	M
GopiIyer4	0.0	0.0	0.0666666666667	0.6	0.0	0.0	0.266666666667	0.0666666666667	0.933333333333	0.0666666666667	4	2.5123966942148757	M
hightopphresh	0.0	0.235294117647	0.235294117647	0.176470588235	0.0588235294118	0.0	0.176470588235	0.117647058824	0.529411764706	0.470588235294	6	4.25	M
neocitytaeil	0.0	0.0	0.0	0.5	0.0	0.0	0.5	0.0	1.0	0.0	2	2.25	M
randomaccessme_	0.0714285714286	0.0	0.142857142857	0.5	0.0	0.0	0.0714285714286	0.214285714286	0.785714285714	0.214285714286	5	4.333333333333333	M
edvarner53	0.0222222222222	0.111111111111	0.111111111111	0.333333333333	0.0	0.0	0.2	0.222222222222	0.747252747253	0.252747252747	6	5.222222222222222	M
