UserId,fear,anger,sad,joy,surprise,disgust,trust,anticipation,positive,negative,#Emo_Categories,EmoVariance,gender
tshepi_ramasia,0,0.333333333,0.277777778,0.277777778,0,0.055555556,0,0.055555556,0.333333333,0.666666667,5,1.555555556,F
elantrajasharii,0.1,0.2,0,0.3,0,0,0.2,0.2,0.7,0.3,5,5.04,F
shasiqahazhr,0,0.090909091,0.090909091,0.727272727,0,0,0.090909091,0,0.818181818,0.181818182,4,2,F
MachineGunnB_,0,0.344827586,0.172413793,0.206896552,0.034482759,0,0.137931034,0.103448276,0.482758621,0.517241379,6,3.873263889,F
sheeeekspeare,0,0.125,0,0.75,0,0,0.125,0,0.875,0.125,3,2.56,F
BabesLongBall,0,0.076923077,0.076923077,0.769230769,0.025641026,0,0.025641026,0.025641026,0.846153846,0.153846154,6,0,F
rdc4hillary,0,0.344827586,0.172413793,0.206896552,0.034482759,0,0.137931034,0.103448276,0.482758621,0.517241379,6,3.873263889,F
Asmaabahaa4,0,0,0,1,0,0,0,0,1,0,1,0,F
jingwrites,0,0.230769231,0.192307692,0.423076923,0.038461538,0,0,0.115384615,0.576923077,0.423076923,5,0.64,F
itsnot_aylin,0,0.583333333,0.083333333,0.166666667,0,0,0,0.166666667,0.333333333,0.666666667,4,6,F
thesungyeom,0,0.090909091,0.090909091,0.545454545,0.045454545,0,0.136363636,0.090909091,0.818181818,0.181818182,6,0.913580247,F
loumochi,0,0.333333333,0,0,0,0.333333333,0,0.333333333,0.333333333,0.666666667,3,6.222222222,F
TopBargainTips,0.022727273,0.238636364,0.215909091,0.363636364,0.011363636,0.011363636,0.102272727,0.034090909,0.511363636,0.488636364,8,1.860969388,F
Miriampearl83,0.066666667,0,0,0.6,0.133333333,0,0,0.2,0.933333333,0.066666667,4,6.1875,F
Shabbychic_Sare,0,0.074766355,0.130841121,0.682242991,0.028037383,0.009345794,0,0.074766355,0.785046729,0.214953271,6,0.595041322,F
friastrisha,0,0.384615385,0.153846154,0.307692308,0,0,0,0.153846154,0.461538462,0.538461538,4,0.8,F
PopsterCebu,0,0.106382979,0.063829787,0.531914894,0.085106383,0,0.063829787,0.14893617,0.829787234,0.170212766,6,2.32132964,F
ms5unshine,0,0.5,0,0.5,0,0,0,0,0.5,0.5,2,1,F
helencredman,0,0.217391304,0.304347826,0.304347826,0,0,0.043478261,0.130434783,0.47826087,0.52173913,5,3.654320988,F
SBAILEY81,0,0.344827586,0.172413793,0.206896552,0.034482759,0,0.137931034,0.103448276,0.482758621,0.517241379,6,3.873263889,F
JayneDixon_,0.04,0.2,0.2,0.36,0,0,0.08,0.12,0.56,0.44,6,3.633217993,F
sblume4,0,0.076923077,0.076923077,0.769230769,0,0,0,0.076923077,0.846153846,0.153846154,4,0.484375,F
ArtTomoe,0.307692308,0.307692308,0.230769231,0.153846154,0,0,0,0,0.153846154,0.846153846,4,1,F
lupmota,0,0.272727273,0.181818182,0.272727273,0,0.090909091,0.181818182,0,0.454545455,0.545454545,5,2.888888889,F
pilienjan,0,0.181818182,0.090909091,0.454545455,0,0,0,0.272727273,0.727272727,0.272727273,4,5.21,F
ZeffiGlambert,0,0.344827586,0.172413793,0.206896552,0.034482759,0,0.137931034,0.103448276,0.482758621,0.517241379,6,3.873263889,F
donna92,0,0,0.2,0.8,0,0,0,0,0.8,0.2,2,0.16,F
saylauryn,0,0.375,0.25,0.25,0,0,0,0.125,0.375,0.625,4,4.96,F
swiftiezen,0,0,0,0.5,0,0,0,0.5,1,0,2,4,F
namastechongg,0,0.1,0.2,0.4,0.1,0,0,0.2,0.7,0.3,5,2.555555556,F
duhhnobigdeal,0.043478261,0.304347826,0.173913043,0.260869565,0.043478261,0,0.130434783,0.043478261,0.47826087,0.52173913,7,3.859375,F
RuthCadbury,0,0.416666667,0.208333333,0.166666667,0,0,0.125,0.083333333,0.375,0.625,5,2.816326531,F
RosieMahoney18,0.071428571,0.107142857,0.214285714,0.428571429,0,0,0.035714286,0.142857143,0.607142857,0.392857143,6,0.64,F
TheDanielCraze,0,0.184210526,0.078947368,0.460526316,0.013157895,0,0.039473684,0.223684211,0.74025974,0.25974026,6,2.743801653,F
butterflieee,0,0,0,1,0,0,0,0,1,0,1,0,F
ryusei_purple,0,0.454545455,0.090909091,0.272727273,0,0,0.090909091,0.090909091,0.454545455,0.545454545,5,3.734375,F
galacteddy,0.047619048,0.238095238,0.142857143,0.428571429,0.095238095,0,0,0.047619048,0.571428571,0.428571429,6,1.50617284,F
1971AnitaMarie,0,0,0,0.666666667,0,0,0,0.333333333,1,0,2,3,F
cristinatmps,0,0.25,0,0.75,0,0,0,0,0.75,0.25,2,0.816326531,F
FreakyCupcakke,0,0.625,0.25,0.125,0,0,0,0,0.125,0.875,3,0.380165289,F
Maddians_Real,0,0.341463415,0.146341463,0.317073171,0,0,0.146341463,0.048780488,0.512195122,0.487804878,5,4.100591716,F
alittlewavyy,0,0.307692308,0.153846154,0.423076923,0.038461538,0.076923077,0,0,0.5,0.5,5,0.906666667,F
taehyungsrarity,0,0.315789474,0.157894737,0.210526316,0,0,0.157894737,0.157894737,0.526315789,0.473684211,5,5.633136095,F
himedork,0,0.157894737,0.263157895,0.526315789,0,0.052631579,0,0,0.526315789,0.473684211,4,0.859375,F
BOOTYFUL_DIVAH,0,0.333333333,0.148148148,0.296296296,0.037037037,0,0.148148148,0.037037037,0.518518519,0.481481481,6,3.138888889,F
enahzzzzzz1204,0,0.111111111,0.111111111,0.555555556,0.166666667,0,0,0.055555556,0.777777778,0.222222222,5,1.854166667,F
qlitterbug,0,0.315789474,0.105263158,0.473684211,0,0.052631579,0,0.052631579,0.526315789,0.473684211,5,1.234375,F
AleeraJulyen,0,0,0,0.666666667,0,0,0,0.333333333,1,0,2,0,F
joy_rolf,0,0.275862069,0.172413793,0.379310345,0,0.068965517,0.034482759,0.068965517,0.482758621,0.517241379,6,2.359861592,F
sha2Z,0,0.344827586,0.172413793,0.206896552,0.034482759,0,0.137931034,0.103448276,0.482758621,0.517241379,6,3.873263889,F
larivsel,0,0.5,0,0.5,0,0,0,0,0.5,0.5,2,1,F
SheilaMaeMoland,0,0.2,0.2,0.4,0,0,0.2,0,0.6,0.4,4,3.5,F
vigaz66,0,0.36,0.16,0.24,0.04,0,0.16,0.04,0.48,0.52,6,3.421487603,F
itsmoon_mr,0,0.111111111,0,0.611111111,0,0,0.055555556,0.222222222,0.888888889,0.111111111,4,3.9375,F
ayanashaya,0,0.454545455,0.090909091,0.363636364,0,0,0.090909091,0,0.454545455,0.545454545,4,2.24,F
MandyThe3litist,0,0.142857143,0.142857143,0.428571429,0,0,0.142857143,0.142857143,0.714285714,0.285714286,5,0.222222222,F
DSifnioti,0.057142857,0.285714286,0.114285714,0.257142857,0.028571429,0,0.114285714,0.142857143,0.558823529,0.441176471,7,4.04,F
wnrdy,0.027777778,0.138888889,0.083333333,0.527777778,0,0,0.138888889,0.083333333,0.75,0.25,6,4.344671202,F
ChefJasminRenee,0,0.333333333,0.151515152,0.181818182,0.03030303,0,0.121212121,0.181818182,0.515151515,0.484848485,6,4.472222222,F
fantaxsgurl,0,0.227272727,0.045454545,0.545454545,0,0,0,0.181818182,0.727272727,0.272727273,4,4.984375,F
peteyworld,0,0.285714286,0.142857143,0.428571429,0,0.142857143,0,0,0.428571429,0.571428571,4,1.673469388,F
sweetpeartea,0,0,0,1,0,0,0,0,1,0,1,0,F
2DMSEXY,0,0.344827586,0.172413793,0.206896552,0.034482759,0,0.137931034,0.103448276,0.482758621,0.517241379,6,3.873263889,F
misswilliams901f,0,0.428571429,0.095238095,0.238095238,0,0.142857143,0.047619048,0.047619048,0.333333333,0.666666667,6,3.135802469,F
janjannnz,0,0.090909091,0.181818182,0.545454545,0,0,0.090909091,0.090909091,0.75,0.25,5,3.135802469,F
alexaandraaxo,0,0.333333333,0,0.333333333,0,0,0,0.333333333,0.666666667,0.333333333,3,6.222222222,F
starlitekth,0,0.333333333,0.166666667,0.416666667,0,0,0,0.083333333,0.5,0.5,4,2.81,F
jerseycak,0,0.454545455,0,0.363636364,0,0,0.090909091,0.090909091,0.545454545,0.454545455,4,1,F
deadcatmom,0,0.076923077,0.307692308,0.461538462,0.076923077,0,0.076923077,0,0.615384615,0.384615385,5,1.69,F
MaggyMcmahon,0,0,0,1,0,0,0,0,1,0,1,0,F
sophiemilnerx,0,0.344827586,0.172413793,0.206896552,0.034482759,0,0.137931034,0.103448276,0.482758621,0.517241379,6,3.873263889,F
valoriedlazaro,0,0,0.181818182,0.727272727,0,0,0,0.090909091,0.818181818,0.181818182,3,1.950617284,F
lorisnaturalloc,0,0.315789474,0.157894737,0.315789474,0.052631579,0,0.105263158,0.052631579,0.526315789,0.473684211,6,3.218836565,F
Ms_T_Miles,0,0.344827586,0.172413793,0.206896552,0.034482759,0,0.137931034,0.103448276,0.482758621,0.517241379,6,3.873263889,F
lewisbiel_,0,0,0.111111111,0.666666667,0,0,0.111111111,0.111111111,0.888888889,0.111111111,4,0.16,F
PattTmbl,0,0.1,0.3,0.6,0,0,0,0,0.6,0.4,3,0.484375,F
_diyuhh,0,0.166666667,0.25,0.333333333,0,0,0.166666667,0.083333333,0.583333333,0.416666667,5,3.6875,F
BluKysses33,0,0.344827586,0.172413793,0.206896552,0.034482759,0,0.137931034,0.103448276,0.482758621,0.517241379,6,3.873263889,F
ebcdasu,0,0,0.5,0.5,0,0,0,0,0.5,0.5,2,0.25,F
_legaspicath,0,0.3125,0.25,0.3125,0.0625,0,0,0.0625,0.4375,0.5625,5,2.75,F
Aradelle1,0,0.333333333,0,0.666666667,0,0,0,0,0.666666667,0.333333333,2,1,F
konnitadw,0,0.333333333,0,0.666666667,0,0,0,0,0.666666667,0.333333333,2,0.888888889,F
cchhuurrlynn,0,0.407407407,0.148148148,0.37037037,0.074074074,0,0,0,0.444444444,0.555555556,4,1.229591837,F
memphissoul1041,0.029411765,0.117647059,0.117647059,0.617647059,0,0,0.029411765,0.088235294,0.735294118,0.264705882,6,3.603305785,F
savage__100,0,0.166666667,0.166666667,0.458333333,0,0.083333333,0.083333333,0.041666667,0.583333333,0.416666667,6,2.375,F
shayxo___,0,0.444444444,0.333333333,0.111111111,0,0.111111111,0,0,0.111111111,0.888888889,4,0.25,F
rtietjen,0,0.344827586,0.172413793,0.206896552,0.034482759,0,0.137931034,0.103448276,0.482758621,0.517241379,6,3.873263889,F
rmtakahashi2016,0,0.277777778,0.194444444,0.25,0.027777778,0.083333333,0.055555556,0.111111111,0.444444444,0.555555556,7,3.830246914,F
PEGULLOTTO,0,0.344827586,0.172413793,0.206896552,0.034482759,0,0.137931034,0.103448276,0.482758621,0.517241379,6,3.873263889,F
HowToTease,0,0.063829787,0.063829787,0.553191489,0,0,0.191489362,0.127659574,0.872340426,0.127659574,5,2.917159763,F
bythe100thpage,0.090909091,0.181818182,0.090909091,0.272727273,0,0,0,0.363636364,0.636363636,0.363636364,5,7.25,F
K0reanfeet,0,0.344827586,0.172413793,0.206896552,0.034482759,0,0.137931034,0.103448276,0.482758621,0.517241379,6,3.873263889,F
MoBeTTa55,0,0.344827586,0.172413793,0.206896552,0.034482759,0,0.137931034,0.103448276,0.482758621,0.517241379,6,3.873263889,F
BCopperthwait,0,0.230769231,0.076923077,0.692307692,0,0,0,0,0.692307692,0.307692308,3,0.734375,F
_deecubed,0,0.071428571,0.142857143,0.428571429,0,0,0,0.357142857,0.785714286,0.214285714,4,4.530612245,F
minicogsy666,0,0,0,0.572916667,0.208333333,0,0.1875,0.03125,1,0,4,1.580246914,F
CrystalPSI,0,0.344827586,0.172413793,0.206896552,0.034482759,0,0.137931034,0.103448276,0.482758621,0.517241379,6,3.873263889,F
Tetsuyaa_Kun,0.071428571,0.142857143,0.142857143,0.642857143,0,0,0,0,0.642857143,0.357142857,4,1.01,F
NashRes,0,0.64,0.16,0.08,0.04,0.04,0.04,0,0.16,0.84,6,3.138888889,F
chibleee,0,0.090909091,0,0.909090909,0,0,0,0,0.909090909,0.090909091,2,0,F
sweetfructose,0,0,0,0.5,0.5,0,0,0,1,0,2,0.25,F
Secrets0fMe,0,0.344827586,0.172413793,0.206896552,0.034482759,0,0.137931034,0.103448276,0.482758621,0.517241379,6,3.873263889,F
Smashings,0,0,0.25,0.75,0,0,0,0,0.75,0.25,2,0.1875,F
LeeKyle1999,0,0.1,0.1,0.6,0,0,0.1,0.1,0.8,0.2,5,0,F
divaontherise,0,0.344827586,0.172413793,0.206896552,0.034482759,0,0.137931034,0.103448276,0.482758621,0.517241379,6,3.873263889,F
