UserId	fear	anger	sad	joy	surprise	disgust	trust	anticipation	positive	negative	#Emo_Categories	label
u568	0.0	0.142857142857	0.0	0.857142857143	0.0	0.0	0.0	0.0	0.857142857143	0.142857142857	2	F
u1077	0	0	0	0	0	0	0	0	0	0	0	Male
u838	0.0	0.0	0.2	0.8	0.0	0.0	0.0	0.0	0.8	0.2	2	Male
u494	0.0	0.0952380952381	0.047619047619	0.619047619048	0.0238095238095	0.0238095238095	0.0238095238095	0.166666666667	0.829268292683	0.170731707317	7	F
u717	0.0	0.047619047619	0.0952380952381	0.238095238095	0.0	0.0	0.047619047619	0.571428571429	0.857142857143	0.142857142857	5	Male
u846	0.0	0.0769230769231	0.153846153846	0.692307692308	0.0	0.0	0.0	0.0769230769231	0.769230769231	0.230769230769	4	Male
u794	0.0	0.4	0.0	0.4	0.0	0.0	0.2	0.0	0.6	0.4	3	Male
u221	0.0490196078431	0.107843137255	0.0392156862745	0.578431372549	0.00980392156863	0.0	0.0980392156863	0.117647058824	0.803921568627	0.196078431373	7	F
u605	0.0166666666667	0.433333333333	0.1	0.266666666667	0.0	0.0	0.075	0.108333333333	0.45	0.55	6	F
u1133	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1	Male
u1053	0.1	0.1	0.1	0.4	0.0	0.0	0.1	0.2	0.7	0.3	6	Male
u67	0.0	0.333333333333	0.233333333333	0.233333333333	0.0	0.0	0.1	0.1	0.433333333333	0.566666666667	5	F
u1320	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1	Male
u1534	0.0714285714286	0.0357142857143	0.0714285714286	0.75	0.0	0.0	0.0714285714286	0.0	0.821428571429	0.178571428571	5	Male
u695	0.0	0.333333333333	0.0	0.333333333333	0.0	0.0	0.333333333333	0.0	0.666666666667	0.333333333333	3	Male
u855	0.0	0.0	0.0769230769231	0.461538461538	0.0	0.0	0.153846153846	0.307692307692	0.923076923077	0.0769230769231	4	Male
u1269	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.333333333333	1.0	0.0	2	Male
u658	0.0140845070423	0.30985915493	0.0140845070423	0.408450704225	0.0140845070423	0.0	0.0845070422535	0.154929577465	0.661971830986	0.338028169014	7	F
u452	0.0	0.4	0.0	0.52	0.0	0.0	0.0	0.08	0.6	0.4	3	F
u25	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1	F
u284	0.0	0.0740740740741	0.0	0.666666666667	0.0	0.0	0.0	0.259259259259	0.925925925926	0.0740740740741	3	F
u261	0.0	0.173469387755	0.102040816327	0.367346938776	0.0204081632653	0.0	0.183673469388	0.15306122449	0.724489795918	0.275510204082	6	F
u513	0.0	0.255319148936	0.0851063829787	0.276595744681	0.0425531914894	0.0212765957447	0.0212765957447	0.297872340426	0.630434782609	0.369565217391	7	F
u937	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1	Male
u106	0.0555555555556	0.277777777778	0.111111111111	0.166666666667	0.0185185185185	0.0740740740741	0.0925925925926	0.203703703704	0.481481481481	0.518518518519	8	F
u212	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	F
u712	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1	Male
